Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2018,AK,Total Electric Industry,21.94,18.58,17.10,0.00,NA,19.36
2018,AL,Total Electric Industry,12.18,11.24,6.01,0.00,NA,9.63
2018,AR,Total Electric Industry,9.81,7.75,5.64,11.35,NA,7.78
2018,AZ,Total Electric Industry,12.77,10.64,6.55,10.02,NA,10.85
2018,CA,Total Electric Industry,18.84,16.34,13.20,8.64,NA,16.58
2018,CO,Total Electric Industry,12.15,10.02,7.47,9.00,NA,10.02
2018,CT,Total Electric Industry,21.20,16.76,13.77,12.84,NA,18.41
2018,DC,Total Electric Industry,12.84,11.97,8.30,9.54,NA,12.03
2018,DE,Total Electric Industry,12.53,9.65,7.95,0.00,NA,10.55
2018,FL,Total Electric Industry,11.54,9.19,7.65,8.26,NA,10.32
2018,GA,Total Electric Industry,11.47,9.79,6.00,5.52,NA,9.62
2018,HI,Total Electric Industry,32.47,29.90,26.10,0.00,NA,29.18
2018,IA,Total Electric Industry,12.24,9.68,6.45,0.00,NA,8.92
2018,ID,Total Electric Industry,10.15,7.93,6.47,0.00,NA,8.17
2018,IL,Total Electric Industry,12.77,9.12,6.80,6.75,NA,9.60
2018,IN,Total Electric Industry,12.26,10.60,7.38,10.44,NA,9.75
2018,KS,Total Electric Industry,13.35,10.66,7.60,0.00,NA,10.72
2018,KY,Total Electric Industry,10.60,9.74,5.68,0.00,NA,8.52
2018,LA,Total Electric Industry,9.59,8.85,5.35,9.21,NA,7.71
1978,LA,Total Electric Industry,3.25,3.05,1.58,NA,0.00,2.48
1978,MA,Total Electric Industry,5.69,5.62,4.31,NA,0.00,5.32
1978,MD,Total Electric Industry,5.11,5.53,3.43,NA,0.00,4.59
1978,ME,Total Electric Industry,4.29,4.45,2.37,NA,0.00,3.57
1978,MI,Total Electric Industry,4.87,5.05,3.48,NA,0.00,4.24
1978,MN,Total Electric Industry,4.21,4.06,3.08,NA,0.00,3.66
1978,MO,Total Electric Industry,4.41,4.10,3.03,NA,0.00,3.92
1978,MS,Total Electric Industry,3.88,4.06,2.94,NA,0.00,3.57
1978,MT,Total Electric Industry,2.79,2.66,0.73,NA,0.00,1.60
1978,NC,Total Electric Industry,4.09,3.68,2.71,NA,0.00,3.45
1978,ND,Total Electric Industry,3.76,3.35,3.09,NA,0.00,3.48
1978,NE,Total Electric Industry,3.69,3.30,2.22,NA,0.00,3.15
1978,NH,Total Electric Industry,5.82,6.46,3.77,NA,0.00,5.11
1978,NJ,Total Electric Industry,6.38,6.03,3.95,NA,0.00,5.43
1978,NM,Total Electric Industry,5.00,4.00,3.26,NA,0.00,4.04
1978,NV,Total Electric Industry,3.63,3.88,2.60,NA,0.00,3.41
1978,NY,Total Electric Industry,6.47,6.22,3.13,NA,0.00,5.31
1978,OH,Total Electric Industry,4.67,4.52,2.51,NA,0.00,3.45
1978,OK,Total Electric Industry,3.89,3.43,2.23,NA,0.00,3.22
1978,OR,Total Electric Industry,2.57,2.21,1.03,NA,0.00,1.89
1978,PA,Total Electric Industry,4.98,4.91,3.20,NA,0.00,4.13
1978,RI,Total Electric Industry,5.84,5.28,4.41,NA,0.00,5.25
1978,SC,Total Electric Industry,4.04,3.57,2.46,NA,0.00,3.24
1978,SD,Total Electric Industry,3.75,3.66,2.72,NA,0.00,3.48
1978,TN,Total Electric Industry,2.92,3.77,2.48,NA,0.00,2.88
1978,TX,Total Electric Industry,4.05,3.79,2.31,NA,0.00,3.22
1978,UT,Total Electric Industry,4.36,3.52,2.40,NA,0.00,3.32
1978,VA,Total Electric Industry,4.53,4.07,2.95,NA,0.00,3.99
1978,VT,Total Electric Industry,4.73,4.52,3.01,NA,0.00,4.13
1978,WA,Total Electric Industry,1.53,1.55,0.46,NA,0.00,1.02
1978,WI,Total Electric Industry,4.21,4.30,2.72,NA,0.00,3.69
1978,WV,Total Electric Industry,3.88,3.98,2.57,NA,0.00,3.22
1978,WY,Total Electric Industry,2.97,2.35,1.57,NA,0.00,1.96
1978,US,Total Electric Industry,4.31,4.36,2.69,NA,0.00,3.68
1977,AK,Total Electric Industry,4.18,4.11,3.17,NA,0.00,3.92
