age;marital;job;housing;loan;campaign;contact
58;married;management;1;0;1;unknown
44;single;technician;1;0;1;unknown
33;married;entrepreneur;1;1;1;unknown
47;married;blue-collar;1;0;1;unknown
33;single;unknown;0;0;1;unknown
35;married;management;1;0;1;unknown
28;single;management;1;1;1;unknown
42;divorced;entrepreneur;1;0;1;unknown
58;married;retired;1;0;1;unknown
43;single;technician;1;0;1;unknown
41;divorced;admin.;1;0;1;unknown
29;single;admin.;1;0;1;unknown
53;married;technician;1;0;1;unknown
58;married;technician;1;0;1;unknown
57;married;services;1;0;1;unknown
51;married;retired;1;0;1;unknown
45;single;admin.;1;0;1;unknown
57;married;blue-collar;1;0;1;unknown
60;married;retired;1;0;1;unknown
33;married;services;1;0;1;unknown
28;married;blue-collar;1;1;1;unknown
56;married;management;1;0;1;unknown
32;single;blue-collar;1;1;1;unknown
25;married;services;1;0;1;unknown
40;married;retired;1;1;1;unknown
44;married;admin.;1;0;1;unknown
39;single;management;1;0;1;unknown
52;married;entrepreneur;1;1;1;unknown
46;single;management;1;0;2;unknown
36;single;technician;1;1;1;unknown
57;married;technician;0;1;1;unknown
49;married;management;1;0;1;unknown
60;married;admin.;1;1;1;unknown
59;married;blue-collar;1;0;1;unknown
51;married;management;1;0;1;unknown
57;divorced;technician;1;0;1;unknown
25;married;blue-collar;1;0;1;unknown
53;married;technician;0;0;1;unknown
36;divorced;admin.;1;0;1;unknown
37;single;admin.;1;0;1;unknown
44;divorced;services;1;0;1;unknown
50;married;management;1;0;2;unknown
60;married;blue-collar;1;0;1;unknown
54;married;retired;1;0;1;unknown
58;married;retired;1;0;1;unknown
36;single;admin.;1;0;1;unknown
58;married;self-employed;1;0;1;unknown
44;married;technician;1;0;2;unknown
55;divorced;technician;0;0;1;unknown
29;single;management;1;0;1;unknown
54;married;blue-collar;1;0;1;unknown
48;divorced;management;1;0;1;unknown
32;married;management;1;0;1;unknown
42;single;admin.;1;0;1;unknown
24;single;technician;1;1;1;unknown
38;single;entrepreneur;0;1;1;unknown
38;single;management;1;0;1;unknown
47;married;blue-collar;1;0;1;unknown
40;single;blue-collar;1;0;1;unknown
46;married;services;1;0;1;unknown
32;married;admin.;1;0;1;unknown
53;divorced;technician;1;0;1;unknown
57;married;blue-collar;1;0;1;unknown
33;married;services;1;0;1;unknown
49;married;blue-collar;1;0;1;unknown
51;married;management;1;0;1;unknown
60;married;retired;0;0;1;unknown
59;divorced;management;1;0;1;unknown
55;married;technician;1;0;2;unknown
35;single;blue-collar;1;1;1;unknown
57;married;blue-collar;1;1;1;unknown
31;married;services;1;1;1;unknown
54;married;management;1;1;1;unknown
55;married;blue-collar;1;0;1;unknown
43;married;technician;1;0;1;unknown
53;married;technician;1;0;1;unknown
44;married;blue-collar;0;1;1;unknown
55;divorced;services;0;0;1;unknown
49;divorced;services;1;1;1;unknown
55;divorced;services;1;0;1;unknown
45;single;admin.;1;0;1;unknown
47;divorced;services;0;0;1;unknown
42;single;technician;1;0;1;unknown
59;married;admin.;1;0;1;unknown
46;married;self-employed;1;1;1;unknown
51;married;blue-collar;1;0;2;unknown
56;married;admin.;0;0;1;unknown
41;married;technician;1;0;1;unknown
46;divorced;management;1;1;2;unknown
57;married;retired;1;0;2;unknown
42;single;management;0;0;1;unknown
30;married;technician;1;1;2;unknown
60;married;admin.;1;0;1;unknown
60;married;blue-collar;1;0;1;unknown
57;divorced;entrepreneur;0;0;1;unknown
36;married;management;1;1;1;unknown
55;married;blue-collar;0;0;1;unknown
60;married;retired;1;0;1;unknown
39;married;technician;1;0;1;unknown
46;married;management;1;0;1;unknown
44;married;blue-collar;1;0;1;unknown
53;married;blue-collar;0;0;1;unknown
52;married;blue-collar;1;0;1;unknown
59;married;blue-collar;1;0;3;unknown
27;single;technician;1;0;1;unknown
44;married;blue-collar;1;0;1;unknown
47;married;technician;1;0;1;unknown
34;married;admin.;0;1;1;unknown
59;single;retired;1;0;1;unknown
45;married;management;1;0;2;unknown
29;divorced;services;1;0;1;unknown
46;divorced;technician;0;0;1;unknown
56;married;self-employed;1;1;2;unknown
